Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
1,22080,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_22080.test,3,Thu Apr 06 09:45:03 2017,Thu Apr 06 09:45:06 2017,10485760,10,30,Thu Apr 06 09:45:06 2017,Thu Apr 06 09:45:36 2017,10485760,10
1,21320,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_21320.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,18196,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_18196.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,12644,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_12644.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,4516,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_4516.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,22,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:36 2017,10485760,10
1,13964,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_13964.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,7080,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_7080.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,22052,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_22052.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,16332,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_16332.test,10,Thu Apr 06 09:45:04 2017,Thu Apr 06 09:45:14 2017,10485760,10,23,Thu Apr 06 09:45:14 2017,Thu Apr 06 09:45:37 2017,10485760,10
1,1120,\\cmode.pg-itenvnas02.altera.com\te_dvs\DVS_Workspace\Debug\mah\INTEL_1120.test,5,Thu Apr 06 09:45:03 2017,Thu Apr 06 09:45:08 2017,10485760,10,29,Thu Apr 06 09:45:08 2017,Thu Apr 06 09:45:37 2017,10485760,10
