Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
1,22836,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_22836.test,10,Mon Apr 17 08:35:52 2017,Mon Apr 17 08:36:02 2017,10485760,10,23,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:25 2017,10485760,10
1,23012,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_23012.test,9,Mon Apr 17 08:35:53 2017,Mon Apr 17 08:36:02 2017,10485760,10,24,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:26 2017,10485760,10
1,12176,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_12176.test,9,Mon Apr 17 08:35:52 2017,Mon Apr 17 08:36:01 2017,10485760,10,25,Mon Apr 17 08:36:01 2017,Mon Apr 17 08:36:26 2017,10485760,10
1,26308,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_26308.test,9,Mon Apr 17 08:35:53 2017,Mon Apr 17 08:36:02 2017,10485760,10,24,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:26 2017,10485760,10
1,16748,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_16748.test,10,Mon Apr 17 08:35:52 2017,Mon Apr 17 08:36:02 2017,10485760,10,24,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:26 2017,10485760,10
1,23584,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_23584.test,6,Mon Apr 17 08:35:52 2017,Mon Apr 17 08:35:58 2017,10485760,10,28,Mon Apr 17 08:35:58 2017,Mon Apr 17 08:36:26 2017,10485760,10
1,9752,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_9752.test,9,Mon Apr 17 08:35:53 2017,Mon Apr 17 08:36:02 2017,10485760,10,23,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:25 2017,10485760,10
1,12632,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_12632.test,10,Mon Apr 17 08:35:52 2017,Mon Apr 17 08:36:02 2017,10485760,10,23,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:25 2017,10485760,10
1,24480,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_24480.test,9,Mon Apr 17 08:35:53 2017,Mon Apr 17 08:36:02 2017,10485760,10,24,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:26 2017,10485760,10
1,25008,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_25008.test,10,Mon Apr 17 08:35:52 2017,Mon Apr 17 08:36:02 2017,10485760,10,24,Mon Apr 17 08:36:02 2017,Mon Apr 17 08:36:26 2017,10485760,10
