Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
0,18556,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_18556.test,25,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:20 2017,10485760,10,1,Mon Apr 17 08:35:20 2017,Mon Apr 17 08:35:21 2017,10485760,10
0,2576,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_2576.test,21,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:16 2017,10485760,10,2,Mon Apr 17 08:35:16 2017,Mon Apr 17 08:35:18 2017,10485760,10
0,13060,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_13060.test,21,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:16 2017,10485760,10,1,Mon Apr 17 08:35:16 2017,Mon Apr 17 08:35:17 2017,10485760,10
0,21224,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_21224.test,22,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:17 2017,10485760,10,2,Mon Apr 17 08:35:17 2017,Mon Apr 17 08:35:19 2017,10485760,10
0,24220,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_24220.test,23,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:18 2017,10485760,10,2,Mon Apr 17 08:35:18 2017,Mon Apr 17 08:35:20 2017,10485760,10
0,18068,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_18068.test,21,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:16 2017,10485760,10,1,Mon Apr 17 08:35:16 2017,Mon Apr 17 08:35:17 2017,10485760,10
0,21980,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_21980.test,24,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:19 2017,10485760,10,2,Mon Apr 17 08:35:19 2017,Mon Apr 17 08:35:21 2017,10485760,10
0,25872,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_25872.test,23,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:18 2017,10485760,10,2,Mon Apr 17 08:35:18 2017,Mon Apr 17 08:35:20 2017,10485760,10
0,25624,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_25624.test,22,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:17 2017,10485760,10,2,Mon Apr 17 08:35:17 2017,Mon Apr 17 08:35:19 2017,10485760,10
0,24692,\\pgpcv01a-cifs.png.intel.com\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_24692.test,23,Mon Apr 17 08:34:55 2017,Mon Apr 17 08:35:18 2017,10485760,10,3,Mon Apr 17 08:35:18 2017,Mon Apr 17 08:35:21 2017,10485760,10
