Mode,Thread Id,Output File, WRITE Duration (Seconds),WRITE Start,WRITE End,WRITE Bytes,WRITE MB,READ Duration (Seconds),READ Start,READ End,READ Bytes,READ MB
1,17520,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_17520.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,14636,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_14636.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,7900,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_7900.test,102,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:43 2017,10485760,10,52,Wed Apr 05 10:10:43 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,19668,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_19668.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,11484,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_11484.test,102,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:43 2017,10485760,10,52,Wed Apr 05 10:10:43 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,8572,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_8572.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,17280,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_17280.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,904,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_904.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,14012,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_14012.test,103,Wed Apr 05 10:09:01 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
1,8868,\\samba.png.intel.com\nfs\site\disks\fm8_cddvs_1\DVS_Workspace\Debug\INTEL_8868.test,104,Wed Apr 05 10:09:00 2017,Wed Apr 05 10:10:44 2017,10485760,10,51,Wed Apr 05 10:10:44 2017,Wed Apr 05 10:11:35 2017,10485760,10
